player_id,player_display_name,recent_team,season,week,opponent_team,is_home,is_division_rival,total_line,team_spread,team_implied_total,rolling_4wk_avg_rb_fantasy_points_allowed,rolling_4wk_avg_rb_rushing_yards_allowed,rolling_4wk_avg_rb_receiving_yards_allowed,rolling_4wk_avg_rb_receptions_allowed,snap_percentage,carries,targets,total_touches,target_share,red_zone_touches,goal_line_touches,rushing_yards,rushing_tds,rushing_epa,receptions,receiving_yards,receiving_tds,receiving_epa,yards_per_touch,fantasy_points,fantasy_points_ppr,dk_fantasy_points,fd_fantasy_points,dk_showdown_captain_points
00-0036265,AJ Dillon,GB,2023,16,CAR,0,0,0.0,0.0,0.0,15.77500019967556,81.5,6.25,3.0,0.18,7,0,7,,3.0,1.0,12.0,1,-1.9657583236694336,0,0.0,0,,1.7142857142857142,7.199999809265137,7.199999809265137,7.2,7.2,10.8
00-0036265,AJ Dillon,GB,2023,17,MIN,0,0,0.0,0.0,0.0,17.57499997317791,82.0,38.75,6.0,0.16,7,0,7,,2.0,1.0,27.0,0,-0.6853252053260803,0,0.0,0,,3.857142857142857,2.700000047683716,2.700000047683716,2.7,2.7,4.050000000000001
00-0033293,Aaron Jones,GB,2020,1,MIN,0,0,0.0,0.0,0.0,,,,,0.54,16,6,22,0.1463414579629898,7.0,5.0,66.0,1,-0.9488919377326965,4,10.0,0,-2.373748779296875,3.4545454545454546,13.600000381469727,17.600000381469727,17.6,15.600000000000001,26.400000000000002
00-0033293,Aaron Jones,GB,2020,2,DET,1,1,51.0,7.0,22.0,15.199999809265137,124.0,28.0,4.0,0.48,18,8,26,0.2666666805744171,5.0,0.0,168.0,2,8.10084056854248,4,68.0,1,4.434240818023682,9.076923076923077,41.599998474121094,45.599998474121094,48.6,43.6,72.9
00-0033293,Aaron Jones,GB,2020,3,NO,0,0,0.0,0.0,0.0,14.950000084936619,92.0,27.5,4.0,0.71,16,4,20,0.13333334028720856,7.0,4.0,69.0,1,-0.9614827036857605,2,17.0,0,-0.6715846657752991,4.3,14.600000381469727,16.600000381469727,16.6,15.600000000000001,24.900000000000002
00-0033293,Aaron Jones,GB,2020,4,ATL,1,0,56.5,5.0,25.75,18.366667091846466,72.33333333333333,38.0,6.666666666666667,0.52,15,5,20,0.1515151560306549,5.0,1.0,71.0,0,-1.3545929193496704,5,40.0,1,2.678623676300049,5.55,17.100000381469727,22.100000381469727,22.1,19.6,33.150000000000006
00-0033293,Aaron Jones,GB,2020,6,TB,0,0,0.0,0.0,0.0,14.54999965429306,38.5,67.0,8.75,0.57,10,5,15,0.16129031777381897,1.0,1.0,15.0,1,-3.581705331802368,3,26.0,0,1.3382972478866577,2.7333333333333334,10.100000381469727,13.100000381469727,13.1,11.6,19.65
00-0033293,Aaron Jones,GB,2020,9,SF,0,0,0.0,0.0,0.0,15.549999944865704,73.0,37.5,4.75,0.61,15,5,20,0.1666666716337204,2.0,0.0,58.0,0,-0.9907367825508118,5,21.0,0,-0.5712248086929321,3.95,7.900000095367432,12.899999618530273,12.9,10.4,19.35
00-0033293,Aaron Jones,GB,2020,10,JAX,1,0,47.0,13.5,16.75,18.650000005960464,93.25,38.25,5.5,0.63,13,6,19,0.1818181872367859,1.0,0.0,46.0,0,-3.593177556991577,5,49.0,0,3.3251030445098877,5.0,9.5,14.5,14.5,12.0,21.75
00-0033293,Aaron Jones,GB,2020,11,IND,0,0,0.0,0.0,0.0,16.549999952316284,69.25,26.25,4.5,0.5,10,4,14,0.11428571492433548,1.0,1.0,41.0,1,1.092820405960083,4,30.0,0,1.6030213832855225,5.071428571428571,13.100000381469727,17.100000381469727,17.1,15.100000000000001,25.650000000000002
